x_pixel,y_pixel,rssi
283,561,-51.07741425
285,561,-51.10807474
286,560,-51.03239368
287,560,-51.04208073
287,559,-51.04551769
289,559,-51.04189898
290,557,-51.0303059
293,558,-51.03968736
294,557,-51.24505487
299,556,-51.26624282
306,554,-51.28512568
307,554,-51.20283077
309,554,-51.21987448
310,554,-51.43765386
311,552,-51.47686747
311,552,-51.52036432
320,547,-51.56937016
320,545,-51.62233844
324,541,-51.4600668
324,541,-51.4794492
327,540,-51.49888155
328,538,-51.52848663
335,534,-51.55934784
335,533,-51.67151724
336,534,-51.69098222
337,534,-51.70804401
337,533,-51.72191139
339,533,-51.73186869
341,531,-51.85904888
341,530,-51.89700885
343,530,-51.93682157
344,529,-52.07765507
347,528,-52.12948579
348,527,-52.17528265
351,526,-52.02371269
352,526,-52.05527956
361,521,-52.08861637
362,520,-52.12429114
366,518,-52.15081537
368,518,-52.17619602
370,516,-52.70013347
372,515,-52.76238131
373,515,-51.82567086
374,515,-51.79070968
380,512,-51.76740938
381,511,-51.83862236
382,511,-51.81362296
383,510,-51.78255614
387,507,-51.74573022
389,508,-51.70268364
391,504,-51.80293865
393,503,-51.70699439
398,498,-51.69512674
398,497,-51.68556845
400,492,-52.07738435
400,489,-52.10126055
402,488,-52.13002431
402,488,-52.06477113
404,485,-52.09667522
404,484,-52.13607438
405,483,-52.16938795
407,481,-52.31562731
407,479,-52.37767737
408,478,-52.44688826
408,477,-52.28383865
409,474,-52.30209646
411,463,-52.31930367
411,455,-52.44475693
411,454,-52.4795651
410,453,-52.51391417
410,451,-52.54836679
410,450,-52.47164074
408,446,-52.48103708
408,445,-52.48445196
408,443,-52.50451329
408,442,-52.52475497
407,439,-52.2453001
407,438,-52.22535442
405,430,-52.19993335
405,429,-52.16853527
404,427,-52.03055212
404,426,-51.88644326
403,422,-51.82698387
403,421,-51.76123706
402,419,-51.68690944
402,418,-52.00312489
401,416,-51.97890737
401,414,-51.95426266
396,394,-52.02969559
395,393,-52.01581163
394,389,-52.01433758
394,388,-52.02712701
394,386,-52.04714132
393,385,-52.07573175
393,384,-52.01461398
393,382,-52.01576289
393,381,-52.01944844
391,373,-52.02596702
390,371,-52.02559416
391,370,-52.02657242
390,370,-52.0277959
394,368,-51.92786279
395,369,-51.91593493
397,369,-51.89995525
399,367,-51.88848938
399,367,-51.87576203
405,366,-52.06139339
413,364,-52.06493602
414,364,-52.06887021
415,364,-52.07309999
419,364,-52.0776304
421,364,-52.09260716
423,364,-52.11027438
439,367,-52.1313063
440,369,-52.05558799
441,371,-51.67357058
441,371,-51.6347883
442,372,-51.59177353
447,384,-51.54406386
447,385,-51.49116025
449,390,-51.43251324
450,393,-51.36650384
452,397,-51.99212679
452,398,-51.97820884
453,399,-51.97047092
454,401,-51.90016096
454,401,-51.92669822
459,407,-51.96019069
460,408,-52.00180338
461,408,-52.25286769
463,412,-52.33490313
464,413,-52.43174306
468,416,-52.47570469
471,417,-52.22545428
486,424,-52.25095261
487,424,-52.28603178
496,428,-52.32196513
498,429,-52.35814257
501,429,-52.19377649
504,429,-52.18786737
506,430,-52.1731638
509,429,-52.14730587
512,429,-52.41446599
513,430,-52.43336716
514,428,-52.45160862
514,428,-52.5681663
514,428,-52.59278642
516,428,-52.6162508
517,428,-52.65849823
518,428,-52.70556132
521,428,-52.35880107
522,428,-52.37995059
525,428,-52.37649905
528,429,-52.37081224
530,428,-52.5627326
532,428,-52.56218923
536,427,-52.55912952
540,426,-52.55341739
544,424,-52.5429093
546,423,-52.5266441
548,423,-52.5434284
548,423,-52.55977618
552,421,-52.4781039
553,420,-52.48883306
556,421,-52.48144311
557,420,-52.7733685
558,420,-52.79479239
560,420,-52.81892989
562,419,-52.84653195
563,419,-53.07852074
564,419,-53.13202997
566,418,-53.18925535
571,418,-52.3603705
573,418,-52.34752424
581,415,-52.33413235
582,415,-52.29020874
589,414,-52.23975037
594,413,-52.18183242
594,413,-52.41536247
595,412,-52.34904664
597,410,-52.27074831
598,408,-52.1788976
598,408,-52.36075032
598,408,-52.36207292
598,408,-52.56486698
598,405,-52.5923328
600,401,-52.62759105
600,400,-52.67216691
600,400,-52.69784735
599,396,-52.73272742
596,393,-52.77892534
596,392,-52.83892811
595,389,-52.88674589
593,389,-52.93921318
591,387,-53.17664781
589,386,-53.23507931
588,384,-53.29582813
587,383,-53.35819425
585,383,-52.82422894
584,383,-52.8333791
581,379,-52.83882447
580,379,-53.03881411
577,378,-53.05402093
576,378,-53.0655017
574,378,-53.05438709
569,376,-53.03631787
564,376,-53.01036685
562,376,-52.77558411
561,376,-52.77071962
558,376,-52.76445368
556,377,-52.8570166
556,377,-52.83883685
552,378,-52.81731844
551,378,-52.79250011
549,378,-52.26631141
548,378,-52.18931077
541,379,-52.10720516
540,379,-52.04036726
536,380,-51.96733203
535,380,-51.98761986
526,381,-51.90068019
524,381,-51.80686452
519,382,-51.70581913
514,382,-51.79715103
509,383,-51.75023499
507,383,-51.70632742
503,384,-51.66623964
502,384,-51.62882688
493,383,-51.69497637
489,382,-51.66571202
487,382,-51.6422152
483,380,-51.72575027
481,379,-51.72774338
480,377,-51.72080262
472,370,-51.41785938
471,369,-51.38901258
469,366,-51.36128987
469,366,-51.53453617
468,365,-51.51849215
467,364,-51.50377016
465,361,-51.48992566
465,360,-51.4663432
