x_pixel,y_pixel,router1_2.4,router1_5,router2_2.4,router2_5,
349,132,-53,-54,-40,-40,-40
374,130,-56,-55,-38,-46,-38
396,127,-47,-54,-39,-45,-39
407,126,-50,-55,-39,-43,-39
414,128,-54,-60,-45,-41,-41
419,133,-62,-57,-41,-45,-41
421,148,-52,-51,-41,-44,-41
419,156,-54,-50,-41,-40,-40
413,170,-51,-49,-40,-43,-40
404,180,-54,-48,-40,-40,-40
391,186,-46,-56,-43,-41,-41
378,188,-52,-54,-38,-43,-38
368,189,-50,-55,-41,-37,-37
361,190,-48,-52,-40,-34,-34
353,189,-51,-49,-34,-36,-34
342,189,-47,-48,-33,-34,-33
333,191,-46,-49,-37,-37,-37
326,192,-45,-46,-34,-34,-34
314,192,-46,-49,-31,-32,-31
304,193,-45,-52,-29,-32,-29
292,194,-46,-50,-30,-32,-30
278,194,-44,-48,-30,-31,-30
264,195,-47,-48,-28,-30,-28
255,195,-46,-46,-27,-30,-27
242,196,-50,-45,-22,-24,-22
233,197,-53,-46,-23,-22,-22
220,200,-47,-49,-22,-20,-20
205,205,-44,-49,-19,-21,-19
202,209,-48,-47,-22,-22,-22
193,218,-44,-46,-23,-20,-20
183,231,-43,-44,-5,-19,-5
181,240,-52,-44,-16,-21,-16
178,249,-50,-48,-18,-30,-18
176,257,-42,-47,-18,-34,-18
175,267,-54,-41,-21,-36,-21
175,279,-44,-38,-27,-27,-27
175,290,-47,-46,-29,-27,-27
177,299,-40,-39,-30,-30,-30
179,310,-38,-44,-34,-31,-31
180,320,-45,-40,-32,-32,-32
183,329,-46,-38,-36,-32,-32
189,345,-42,-43,-34,-33,-33
191,356,-43,-39,-36,-33,-33
195,374,-40,-40,-43,-34,-34
198,387,-48,-40,-48,-32,-32
201,398,-42,-44,-39,-32,-32
204,410,-43,-40,-47,-33,-33
207,423,-45,-42,-40,-33,-33
210,437,-50,-41,-37,-35,-35
214,452,-41,-40,-37,-37,-37
217,466,-45,-41,-46,-36,-36
222,485,-45,-43,-42,-40,-40
225,492,-43,-39,-35,-37,-35
